ano,sigla_uf,sexo,faixa_etaria,media_aposentadoria_pensao,media_pensao_alimenticia,media_programas_sociais,media_outros_rendimentos,total_respondentes
2016,SE,Feminino,Outras idades / Não mapeado,1.95,1.99,2.0,2.0,88
2016,SE,Feminino,Outras idades / Não mapeado,1.96,2.0,2.0,1.99,84
2016,SE,Feminino,Outras idades / Não mapeado,1.99,2.0,1.99,1.99,385
2016,SE,Feminino,Outras idades / Não mapeado,1.92,2.0,2.0,1.98,156
2016,SE,Masculino,Outras idades / Não mapeado,1.95,2.0,2.0,1.96,176
2016,SE,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,309
2016,SE,Masculino,Outras idades / Não mapeado,1.97,2.0,2.0,1.99,244
2016,SE,Masculino,Outras idades / Não mapeado,1.97,2.0,2.0,1.98,61
2016,SP,Feminino,Outras idades / Não mapeado,1.99,1.99,1.99,1.99,359
2016,SP,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,259
2016,SP,Masculino,45 a 59 anos,2.0,2.0,2.0,2.0,495
2016,SP,Feminino,Outras idades / Não mapeado,1.98,2.0,1.98,1.98,364
2016,SP,Masculino,Outras idades / Não mapeado,1.99,1.99,2.0,1.96,277
2016,SP,Masculino,Outras idades / Não mapeado,2.0,2.0,1.99,2.0,351
2016,SP,Masculino,Outras idades / Não mapeado,1.99,2.0,1.98,1.96,318
2016,SP,Masculino,Outras idades / Não mapeado,1.97,2.0,2.0,1.89,119
2016,RS,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,132
2016,RS,Feminino,30 a 44 anos,2.0,2.0,2.0,2.0,105
2016,RS,Feminino,Outras idades / Não mapeado,1.98,2.0,1.99,1.97,105
2016,RS,Feminino,Outras idades / Não mapeado,1.96,1.99,1.98,1.99,164
2016,RS,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.93,55
2016,RS,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.98,119
2016,RS,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,2.0,96
2016,RS,Masculino,Outras idades / Não mapeado,1.99,2.0,2.0,1.94,177
2016,RS,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.98,43
2016,RO,Feminino,0 a 14 anos,2.0,2.0,2.0,2.0,276
2016,RO,Feminino,Outras idades / Não mapeado,1.93,2.0,2.0,1.97,99
2016,RO,Masculino,Outras idades / Não mapeado,1.99,1.99,2.0,1.96,172
2016,RO,Masculino,Outras idades / Não mapeado,1.98,2.0,1.98,1.94,241
2016,RO,Feminino,Outras idades / Não mapeado,1.98,2.0,2.0,1.99,339
2016,RO,Feminino,30 a 44 anos,2.0,2.0,2.0,2.0,249
2016,RO,Masculino,Outras idades / Não mapeado,1.98,2.0,2.0,1.98,49
2016,RO,Feminino,Outras idades / Não mapeado,2.0,1.98,2.0,2.0,52
2016,RO,Feminino,Outras idades / Não mapeado,2.0,2.0,2.0,1.94,35
2016,PA,Feminino,Outras idades / Não mapeado,1.99,2.0,2.0,1.98,130
2016,PA,Masculino,Outras idades / Não mapeado,1.99,1.99,1.98,1.98,156
2016,PA,Masculino,0 a 14 anos,2.0,2.0,2.0,2.0,177
2016,PA,Masculino,Outras idades / Não mapeado,1.99,2.0,1.99,1.98,151
2016,PA,Feminino,Outras idades / Não mapeado,1.96,1.99,2.0,1.95,102
2016,PA,Feminino,60 anos ou mais,1.99,1.99,2.0,2.0,181
2016,PA,Masculino,60 anos ou mais,1.98,2.0,1.99,2.0,191
2016,PA,Feminino,45 a 59 anos,1.99,2.0,2.0,2.0,260
2016,PA,Masculino,Outras idades / Não mapeado,1.96,2.0,2.0,2.0,28
2016,PA,Masculino,Outras idades / Não mapeado,1.92,2.0,2.0,2.0,64
2016,PA,Feminino,Outras idades / Não mapeado,1.98,1.98,2.0,1.98,43
2016,PI,Masculino,Outras idades / Não mapeado,1.97,1.99,1.98,2.0,253
2016,PI,Feminino,Outras idades / Não mapeado,1.97,1.97,1.99,2.0,272
2016,PI,Masculino,Outras idades / Não mapeado,1.98,1.97,2.0,1.98,240
2016,PI,Masculino,45 a 59 anos,2.0,2.0,2.0,2.0,500
2016,PI,Feminino,Outras idades / Não mapeado,1.99,1.96,2.0,1.99,324
2016,PI,Feminino,15 a 29 anos,2.0,2.0,2.0,2.0,287
2016,PI,Masculino,Outras idades / Não mapeado,1.95,2.0,2.0,1.98,96
2016,PI,Masculino,Outras idades / Não mapeado,1.99,1.97,1.99,2.0,174
2016,RN,Masculino,45 a 59 anos,1.99,2.0,2.0,2.0,108
2016,RN,Feminino,Outras idades / Não mapeado,1.97,2.0,2.0,1.99,88
2016,RN,Masculino,Outras idades / Não mapeado,1.99,2.0,1.99,2.0,81
2016,RN,Feminino,Outras idades / Não mapeado,1.98,1.96,1.99,1.99,80
