ano,sigla_uf,sexo,total_trabalhadores,salario_medio
1998,RR,Masculino,15029,0.0
1998,RS,Feminino,732824,0.0
1998,RS,Masculino,1051489,0.0
1998,SC,Feminino,351132,0.0
1998,SC,Masculino,595884,0.0
1998,SE,Feminino,81945,0.0
1998,SE,Masculino,111125,0.0
1998,SP,Feminino,2809244,0.0
1998,SP,Masculino,4709670,0.0
1998,TO,Feminino,39778,0.0
1998,TO,Masculino,50756,0.0
1999,AC,Feminino,28869,560.38
1999,AC,Masculino,29205,693.16
1999,AL,Feminino,95190,435.21
1999,AL,Masculino,158278,473.28
1999,AM,Feminino,98091,621.87
1999,AM,Masculino,134874,786.88
1999,AP,Feminino,18127,822.77
1999,AP,Masculino,25802,841.54
1999,BA,Feminino,469266,469.6
1999,BA,Masculino,639339,560.54
1999,CE,Feminino,311378,405.07
1999,CE,Masculino,355654,509.47
1999,DF,Feminino,231073,1208.21
1999,DF,Masculino,499706,1152.93
1999,ES,Feminino,167958,528.91
1999,ES,Masculino,283423,635.76
1999,GO,Feminino,241472,437.13
1999,GO,Masculino,369200,528.44
1999,MA,Feminino,126672,394.56
1999,MA,Masculino,145934,534.55
